loan_id,control_id,impact_inr
LN0008687,C-07,16547.48
LN0008701,C-06,9.37
LN0008708,C-04,2577.68
LN0008716,C-02,-125862.43
LN0008753,C-07,42861.16
LN0008816,C-08,10904.69
LN0008820,C-03,-55.6
LN0008821,C-03,-50.16
LN0008831,C-07,14648.17
LN0008835,C-04,3021.7
LN0008889,C-02,-30426.57
LN0008896,C-02,-17522.5
LN0008899,C-01,1944.77
LN0008901,C-03,-56.02
LN0008921,C-07,21418.37
LN0008962,C-01,49101.14
LN0008975,C-01,376.3
LN0009006,C-04,1229.39
LN0009039,C-04,3714.1
LN0009045,C-09,105.01
LN0009072,C-07,19098.3
LN0009083,C-09,552.21
LN0009130,C-03,-84.9
LN0009170,C-03,-100.11
LN0009238,C-03,-36.69
LN0009253,C-07,15715.49
LN0009347,C-07,15917.2
LN0009351,C-04,3847.33
LN0009419,C-08,721.65
LN0009439,C-08,10561.9
LN0009529,C-04,18920.25
LN0009578,C-01,55935.11
LN0009588,C-09,335.02
LN0009614,C-07,7062.08
LN0009676,C-09,37.47
LN0009729,C-08,2211.0
LN0009770,C-01,84287.42
LN0009782,C-09,869.52
LN0009791,C-01,1073.23
LN0009886,C-05,4771.2
LN0009939,C-01,96.88
LN0009974,C-08,4763.84
LN0009980,C-07,9048.38
LN0009987,C-09,316.64
LN0010021,C-05,6.12
LN0010023,C-01,71929.09
LN0010085,C-04,1708.9
LN0010102,C-09,1433.78
LN0010134,C-01,18928.16
LN0010204,C-07,24286.44
LN0010257,C-05,8.85
LN0010257,C-09,229.62
LN0010261,C-05,-802.74
LN0010278,C-07,21070.26
LN0010373,C-01,30006.5
LN0010399,C-01,9.0
LN0010410,C-05,1429.85
LN0010414,C-05,5.59
LN0010469,C-01,19781.17
LN0010490,C-01,71.73
LN0010508,C-09,366.94
LN0010579,C-03,-30.62
LN0010598,C-01,23187.01
LN0010621,C-08,1403.7
LN0010709,C-05,6.35
LN0010719,C-06,88.82
LN0010724,C-02,-12951.04
LN0010724,C-07,7553.85
LN0010773,C-04,9347.67
LN0010780,C-03,-47.82
LN0010796,C-07,9094.23
LN0010801,C-04,9386.64
LN0010804,C-02,-4659.47
LN0010811,C-06,-3.95
LN0010836,C-04,10334.06
LN0010857,C-03,245.96
LN0010877,C-06,72.78
LN0010892,C-03,-31.61
LN0010906,C-07,11450.17
LN0010916,C-05,20.24
LN0010931,C-03,-79.26
LN0011044,C-03,83.11
LN0011055,C-02,-11602.95
LN0011070,C-09,98.91
LN0011144,C-07,9553.27
LN0011150,C-08,3979.94
LN0011164,C-03,-23.78
LN0011165,C-03,-25.42
LN0011169,C-03,-120.69
LN0011201,C-03,-138.49
LN0011228,C-07,38052.02
LN0011246,C-05,8.21
LN0011398,C-03,-40.75
LN0011465,C-09,1184.73
LN0011559,C-03,-200.62
LN0011583,C-08,5390.15
LN0011620,C-07,17196.24
LN0011658,C-07,13659.86
LN0011666,C-06,-18.18
LN0011753,C-07,4535.02
LN0011761,C-09,570.87
LN0011769,C-01,142.56
LN0011777,C-08,842.99
LN0011781,C-02,-17875.47
LN0011801,C-04,3775.24
LN0011854,C-08,537.21
LN0011905,C-04,5033.89
LN0011922,C-03,53.51
LN0011980,C-04,10919.53
LN0012018,C-07,14375.5
LN0012047,C-04,12011.76
LN0012068,C-02,-3908.15
LN0012099,C-07,14461.93
LN0012108,C-08,2402.22
LN0012192,C-01,-9384.27
LN0012206,C-02,-17472.83
LN0012236,C-08,520.83
LN0012374,C-02,-17209.31
LN0012410,C-04,20193.56
LN0012413,C-07,12065.57
LN0012424,C-05,5.89
LN0012470,C-05,-212.89999999999998
LN0012475,C-03,55.81
LN0012488,C-06,-14.26
LN0012490,C-02,-27615.56
LN0012517,C-01,179028.83
LN0012525,C-06,-2.37
LN0012576,C-02,-22470.1
LN0012576,C-05,-750.0
LN0012607,C-08,1047.49
LN0012616,C-02,-16361.5
LN0012642,C-06,21.79
LN0012663,C-04,2927.53
LN0012777,C-03,131.86
LN0012865,C-02,-19174.72
LN0012873,C-09,244.0
LN0012904,C-02,-9554.88
LN0012910,C-05,6.18
LN0012935,C-08,26299.13
LN0012951,C-09,229.23
LN0012957,C-03,-10.29
LN0012959,C-03,127.22
LN0012972,C-07,11329.42
LN0012992,C-05,4.75
LN0013005,C-05,5.45
LN0013032,C-03,47.27
LN0013033,C-03,-26.29
LN0013102,C-01,8887.91
LN0013205,C-03,23.03
LN0013259,C-04,8673.93
LN0013305,C-04,16167.5
LN0013322,C-05,12060.48
LN0013322,C-09,2539.05
LN0013343,C-04,23655.94
LN0013383,C-01,56424.52
LN0013399,C-08,14476.44
LN0013422,C-06,12.09
LN0013452,C-05,-500.0
LN0013478,C-06,-5.98
LN0013486,C-05,963.3900000000001
LN0013519,C-04,1104.47
LN0013552,C-07,9592.98
LN0013564,C-01,2774.53
LN0013585,C-09,776.46
LN0013604,C-02,-9780.35
LN0013654,C-09,232.38
LN0013731,C-09,192.41
LN0013733,C-05,13.38
LN0013817,C-02,-48714.4
LN0013824,C-03,-43.72
LN0013863,C-09,815.1
LN0013915,C-03,-56.45
LN0014032,C-05,4.8
LN0014139,C-09,123.56
LN0014142,C-02,-4805.68
LN0014333,C-06,-87.38
LN0014354,C-01,3657.75
LN0014423,C-05,-442.1
LN0014426,C-06,-2.95
LN0014427,C-01,1072.99
LN0014434,C-08,285.69
LN0014482,C-02,-31198.93
LN0014548,C-06,-99.11
LN0014644,C-08,517.21
LN0014688,C-06,-73.34
LN0014716,C-05,23.62
LN0014766,C-04,1530.03
LN0014780,C-08,3187.49
LN0014866,C-09,239.6
LN0014870,C-04,4254.21
LN0014870,C-09,519.27
LN0014875,C-03,97.75
LN0014876,C-08,2286.29
LN0014889,C-01,-405.25
LN0014950,C-06,50.54
LN0015007,C-07,6098.59
LN0015023,C-09,771.61
LN0015059,C-06,-111.71
LN0015095,C-02,-11990.91
LN0015170,C-07,20189.0
LN0015185,C-08,930.55
LN0015187,C-03,29.54
LN0015206,C-08,6978.42
LN0015248,C-07,6450.0
LN0015270,C-05,-457.43
LN0015294,C-04,22289.03
LN0015306,C-03,33.17
LN0015306,C-06,62.17
LN0015356,C-08,3187.8
LN0015387,C-03,74.75
LN0015475,C-08,131.3
LN0015503,C-08,1476.84
LN0015527,C-02,-25061.94
LN0015541,C-03,397.19
LN0015597,C-07,10303.45
LN0015638,C-08,25913.77
LN0015656,C-05,13.04
LN0015750,C-04,36106.28
LN0015773,C-05,324.8399999999999
LN0015780,C-03,179.63
LN0015856,C-03,132.14
LN0015907,C-09,163.03
LN0015935,C-02,-17483.61
LN0015971,C-04,2820.74
LN0016024,C-09,481.53
LN0016089,C-08,2639.03
LN0016140,C-08,212.04
LN0016153,C-04,45615.32
LN0016238,C-02,-23581.42
LN0016364,C-02,-23515.66
LN0016380,C-05,6.95
LN0016388,C-01,1313.46
LN0016495,C-02,-19222.26
LN0016533,C-06,-40.2
LN0016683,C-02,-10019.24
LN0016706,C-03,-622.11
LN0016720,C-07,13096.65
LN0016741,C-03,-248.37
LN0016799,C-07,24646.21
LN0016830,C-08,10283.79
LN0016879,C-02,-80250.0
LN0016929,C-06,18.85
LN0016985,C-06,60.95
LN0017017,C-08,21120.04
LN0017023,C-01,23255.51
LN0017055,C-07,17270.13
LN0017126,C-02,-23973.18
LN0017146,C-01,3421.91
LN0017150,C-03,-946.59
LN0017212,C-02,-72577.93
LN0017418,C-08,589.39
LN0017496,C-06,85.4
LN0017525,C-06,-75.27
LN0017541,C-05,7202.52
LN0017543,C-02,-10475.46
LN0017545,C-08,6883.06
LN0017553,C-07,9106.72
LN0017593,C-05,53.52
LN0017638,C-08,779.8
LN0017653,C-01,6354.53
LN0017676,C-09,3957.22
LN0017741,C-09,960.31
LN0017819,C-03,-244.86
LN0017832,C-06,-100.58
LN0017868,C-03,-323.18
LN0017870,C-03,-145.43
LN0017900,C-06,48.52
LN0017939,C-04,895.63
LN0017977,C-04,725.4
LN0018037,C-05,10.27
LN0018146,C-04,17720.34
LN0018150,C-07,17565.8
LN0018151,C-07,13519.54
LN0018226,C-08,13980.84
LN0018232,C-06,-33.13
LN0018322,C-01,-2525.22
LN0018325,C-03,-105.19
LN0018394,C-09,153.89
LN0018443,C-08,356.2
LN0018456,C-05,4447.52
LN0018522,C-04,9984.02
LN0018530,C-04,2211.72
LN0018558,C-02,-24001.12
LN0018597,C-08,1325.74
LN0018605,C-05,9.0
LN0018675,C-04,43515.97
LN0018713,C-01,41758.98
LN0018738,C-05,-827.09
LN0018760,C-04,20721.87
LN0018804,C-06,-23.56
LN0018814,C-03,-195.01
LN0018818,C-01,-18552.03
LN0018823,C-04,2715.04
LN0018836,C-02,-79088.02
LN0018854,C-06,-0.36
LN0018854,C-07,29269.0
LN0018881,C-03,-380.23
LN0018900,C-06,101.13
LN0019003,C-07,14266.03
LN0019033,C-05,5.68
LN0019076,C-04,35925.05
LN0019108,C-07,1319.26
LN0019110,C-04,2706.58
LN0019194,C-04,22850.83
LN0019214,C-09,1614.12
LN0019219,C-09,589.24
LN0019238,C-06,-21.51
LN0019255,C-09,469.94
LN0019260,C-03,-106.25
LN0019312,C-02,-15501.53
LN0019324,C-04,49582.21
LN0019329,C-03,-835.78
LN0019462,C-02,-25178.29
LN0019486,C-03,-164.14
LN0019518,C-08,25888.14
LN0019536,C-07,16663.66
LN0019577,C-03,-186.27
LN0019591,C-08,29860.42
LN0019615,C-05,5.02
LN0019636,C-06,-52.26
LN0019636,C-09,550.0
LN0019664,C-06,53.37
LN0019676,C-05,9.75
LN0019752,C-09,216.26
LN0019767,C-01,-6444.4
LN0019776,C-04,18267.0
LN0019811,C-02,-10579.56
LN0019827,C-02,-31887.68
LN0019828,C-02,-42457.77
LN0019862,C-09,256.93
LN0019905,C-06,-18.57
LN0019908,C-01,3389.47
LN0019952,C-03,-418.27
LN0019966,C-06,25.54
LN0019972,C-02,-49805.0
LN0019979,C-05,5.69
LN0020039,C-07,12518.57
LN0020042,C-09,222.7
LN0020048,C-08,1642.98
LN0020064,C-07,12636.07
LN0020085,C-09,219.3
LN0020089,C-06,51.8
LN0020116,C-06,42.39
LN0020248,C-08,821.34
LN0020255,C-08,111.69
LN0020295,C-02,-23951.0
LN0020300,C-04,12438.37
LN0020315,C-01,-3283.77
LN0020393,C-09,584.55
LN0020471,C-03,-285.52
LN0020488,C-09,461.8
LN0020515,C-07,11589.83
LN0020549,C-02,-26244.88
LN0020552,C-07,20121.05
LN0020591,C-08,23493.64
LN0020604,C-05,-11.07000000000005
LN0020625,C-06,38.25
LN0020632,C-01,20953.45
LN0020677,C-05,3310.3999999999996
LN0020730,C-02,-9994.19
LN0020749,C-08,11692.72
LN0020825,C-01,72.77
LN0020847,C-03,-294.61
LN0020864,C-05,2630.24
LN0020875,C-09,2431.67
LN0020899,C-05,5.82
LN0020901,C-07,17956.88
LN0020904,C-05,6.02
LN0020928,C-03,-266.92
LN0021000,C-05,6.65
LN0021000,C-06,-130.43
LN0021107,C-03,-77.51
LN0021124,C-07,33825.82
LN0021170,C-04,1668.32
LN0021198,C-01,32669.0
LN0021202,C-09,462.43
LN0021307,C-07,8185.49
LN0021308,C-04,30284.72
LN0021354,C-06,32.02
LN0021384,C-04,7923.85
LN0021390,C-08,2496.06
LN0021393,C-03,-327.22
LN0021410,C-02,-4429.9
LN0021410,C-04,9122.08
LN0021458,C-01,63769.32
LN0021459,C-08,672.27
LN0021473,C-07,38048.42
LN0021493,C-09,109.86
LN0021498,C-01,-3167.23
LN0021517,C-01,-26222.64
LN0021546,C-01,19753.57
LN0021573,C-06,116.7
LN0021674,C-06,-70.26
LN0021679,C-06,-148.41
LN0021730,C-03,-126.1
LN0021764,C-01,36060.41
LN0021771,C-08,4241.59
LN0021775,C-09,701.43
LN0021818,C-07,29023.6
LN0021963,C-09,540.24
LN0021965,C-06,-32.64
LN0022010,C-03,-304.33
LN0022034,C-09,27.89
LN0022054,C-03,-199.92
LN0022058,C-06,-88.58
LN0022084,C-03,-154.34
LN0022136,C-08,703.55
LN0022144,C-02,-8986.19
LN0022174,C-08,435.69
LN0022189,C-02,-15822.65
LN0022189,C-09,1147.67
LN0022233,C-09,316.72
LN0022235,C-04,2299.74
LN0022235,C-09,422.57
LN0022272,C-09,91.38
LN0022285,C-05,-167.64999999999998
LN0022336,C-07,16496.9
LN0022421,C-04,14162.08
LN0022466,C-03,-144.66
LN0022490,C-05,4729.82
LN0022516,C-05,26992.85
LN0022568,C-06,85.77
LN0022570,C-08,20988.47
LN0022589,C-03,-84.81
LN0022597,C-04,27064.92
LN0022624,C-05,361.63
LN0022742,C-03,-392.44
LN0022759,C-07,11085.03
LN0022846,C-02,-2237.53
LN0022850,C-02,-9166.36
LN0022892,C-07,26508.34
LN0022909,C-09,342.48
LN0022932,C-02,-5045.02
LN0022939,C-01,16598.66
LN0023016,C-07,9345.7
LN0023061,C-09,1755.3
LN0023096,C-09,24.43
LN0023121,C-07,18815.03
LN0023133,C-09,677.8
LN0023174,C-03,-90.6
LN0023182,C-05,2574.25
LN0023451,C-08,160.31
LN0023472,C-07,15502.72
LN0023490,C-06,-45.92
LN0023522,C-05,3121.12
LN0023578,C-06,19.5
LN0023602,C-07,27600.31
LN0023619,C-05,8.79
LN0023635,C-01,116.81
LN0023667,C-09,793.36
LN0023677,C-08,1073.55
LN0023709,C-09,1713.06
LN0023727,C-06,-93.49
LN0023751,C-09,960.5
LN0023800,C-01,3516.51
LN0023822,C-01,376.82
LN0023900,C-09,279.66
LN0023904,C-03,0.14
LN0023951,C-01,692.78
LN0023980,C-09,105.83
LN0024167,C-09,708.27
LN0024184,C-07,16437.42
LN0024200,C-04,16573.75
LN0024202,C-02,-6825.26
LN0024215,C-08,4534.33
LN0024225,C-02,-5258.82
LN0024273,C-03,100.92
LN0024275,C-01,3559.04
LN0024302,C-01,8195.22
LN0024337,C-06,-275.2
LN0024367,C-02,-1850.98
LN0024376,C-01,-2426.41
LN0024419,C-04,16455.77
LN0024466,C-07,14381.96
LN0024522,C-01,800.6
LN0024561,C-02,-7944.97
LN0024708,C-01,36811.49
LN0024714,C-07,9775.18
LN0024723,C-02,-8745.39
LN0024723,C-04,3671.42
LN0024726,C-09,527.84
LN0024782,C-07,16862.76
LN0024835,C-09,137.53
LN0024836,C-01,24936.88
LN0024846,C-03,-85.39
LN0024927,C-07,30022.34
LN0024963,C-06,-39.76
LN0025019,C-03,-1.43
LN0025133,C-08,3950.63
LN0025150,C-02,-40.19
LN0025192,C-09,359.25
LN0025216,C-02,-821.5
LN0025283,C-06,-18.49
LN0025299,C-03,-187.7
LN0025314,C-05,11.16
LN0025327,C-09,217.76
LN0025345,C-06,-38.24
LN0025363,C-04,8245.07
LN0025414,C-01,-657.66
LN0025543,C-02,-1094.56
LN0025770,C-05,6856.8
LN0025825,C-01,-1521.2
LN0025841,C-07,8730.81
LN0025843,C-08,5725.26
LN0025846,C-08,4016.01
LN0025888,C-07,20397.34
LN0025912,C-04,2690.83
LN0026018,C-07,20540.38
LN0026027,C-03,-224.32
LN0026045,C-04,25996.69
LN0026106,C-03,46.03
LN0026106,C-08,2941.58
LN0026110,C-05,5.41
LN0026119,C-07,25885.58
LN0026128,C-07,25075.39
LN0026150,C-06,5.42
LN0026158,C-08,1124.91
LN0026252,C-02,-900.65
LN0026292,C-02,-1453.02
LN0026399,C-09,193.72
LN0026433,C-05,502.6199999999999
LN0026445,C-01,473.19
LN0026460,C-01,61899.54
LN0026478,C-05,-465.25
LN0026538,C-03,23.54
LN0026643,C-01,2181.13
LN0026695,C-03,-23.14
LN0026754,C-05,5622.96
LN0026794,C-05,8.92
LN0026828,C-04,11730.33
LN0026843,C-01,717.62
LN0026865,C-04,226.31
LN0026889,C-05,6649.15
LN0026898,C-07,6707.65
LN0026899,C-02,332.85
LN0026924,C-08,304.53
LN0026978,C-01,36803.51
LN0026986,C-02,-31249.41
LN0027035,C-06,44.92
LN0027042,C-09,884.92
LN0027044,C-01,-679.55
LN0027049,C-03,-21.3
LN0027074,C-06,-2.87
LN0027079,C-02,-659.67
LN0027110,C-04,11621.37
LN0027170,C-03,-59.32
LN0027194,C-02,-29435.92
LN0027199,C-04,6008.21
LN0027230,C-07,19103.9
LN0027232,C-07,11127.6
LN0027240,C-02,-36832.27
LN0027279,C-02,-718.26
LN0027312,C-07,17796.87
LN0027316,C-07,20884.61
LN0027348,C-01,34368.87
LN0027354,C-06,-100.81
LN0027357,C-07,18125.67
LN0027358,C-07,6490.04
LN0027415,C-02,-14148.67
LN0027418,C-01,5843.22
LN0027481,C-07,36170.54
LN0027483,C-07,22344.11
LN0027550,C-05,-500.0
LN0027577,C-04,1190.5
LN0027589,C-03,-41.82
LN0027614,C-09,2106.92
LN0027660,C-08,9385.04
LN0027666,C-09,412.71
LN0027714,C-08,139.62
LN0027768,C-07,10464.82
LN0027936,C-06,-50.14
LN0028005,C-04,6745.32
LN0028009,C-05,-372.52
LN0028029,C-08,25216.32
LN0028077,C-05,1824.38
LN0028082,C-08,6666.26
LN0028089,C-02,-16217.99
LN0028097,C-03,14.82
LN0028097,C-08,795.1
LN0028120,C-07,21238.54
LN0028130,C-05,12.15
LN0028177,C-02,-1440.57
LN0028190,C-03,-112.03
LN0028197,C-01,9439.73
LN0028214,C-05,6372.48
LN0028274,C-03,-59.67
LN0028296,C-02,5067.05
LN0028376,C-06,-55.29
LN0028380,C-07,7815.9
LN0028382,C-01,13914.71
LN0028459,C-07,4560.56
LN0028466,C-06,19.53
LN0028470,C-09,999.49
LN0028475,C-08,24898.31
LN0028477,C-02,-1326.15
LN0028533,C-06,-115.47
LN0028533,C-01,27662.0
LN0028581,C-04,93085.08
LN0028657,C-06,152.14
LN0028705,C-01,-2270.11
LN0028719,C-02,3428.32
LN0028721,C-01,-30237.86
LN0028735,C-09,104.55
LN0028848,C-09,105.11
LN0028864,C-04,21037.05
LN0028886,C-04,4010.6
LN0028902,C-03,62.18
LN0028926,C-09,2300.64
LN0028937,C-06,-59.09
LN0028999,C-01,153259.52
LN0029004,C-02,2088.64
LN0029007,C-04,9803.56
LN0029012,C-06,-84.71
LN0029018,C-08,14033.73
LN0029025,C-08,707.71
LN0029073,C-02,3212.66
LN0029077,C-07,21746.57
LN0029121,C-02,1737.53
LN0029179,C-04,5082.0
LN0029273,C-07,12649.96
LN0029290,C-02,-5456.77
LN0029299,C-06,-81.62
LN0029304,C-03,56.56
LN0029313,C-07,8843.85
LN0029392,C-05,6.15
LN0029429,C-03,23.89
LN0029437,C-06,-32.74
LN0029448,C-04,44224.03
LN0029471,C-08,687.4
LN0029517,C-04,9575.16
LN0029527,C-01,6954.03
LN0029611,C-09,77.36
LN0029657,C-09,333.47
LN0029696,C-09,442.84
LN0029703,C-09,323.22
LN0029781,C-09,7.86
LN0029781,C-01,6582.54
LN0029786,C-08,2390.98
LN0029789,C-03,138.3
LN0029795,C-08,295.31
LN0029820,C-08,6279.46
LN0029820,C-09,535.85
LN0029858,C-02,5477.01
LN0029860,C-04,6025.18
LN0029914,C-02,-289.12
LN0029914,C-09,209.21
LN0029925,C-03,161.01
LN0029963,C-04,3131.24
LN0029995,C-01,2111.31
LN0029998,C-06,18.28
LN0030130,C-02,-9011.26
LN0030137,C-06,-162.36
LN0030158,C-02,8545.09
LN0030158,C-07,18594.68
LN0030162,C-04,10384.1
LN0030171,C-01,943.49
LN0030287,C-06,-6.04
LN0030337,C-07,7087.75
LN0030355,C-03,175.09
LN0030435,C-08,2926.74
LN0030563,C-02,7163.98
LN0030694,C-03,236.13
LN0030699,C-06,52.18
LN0030810,C-01,5008.61
LN0030812,C-06,70.57
LN0030947,C-09,2000.57
LN0030968,C-02,9322.98
LN0031061,C-02,716.25
LN0031088,C-02,7021.51
LN0031105,C-02,-10193.07
LN0031109,C-04,18305.66
LN0031156,C-03,-449.9
LN0031179,C-07,12033.19
LN0031186,C-04,8009.89
LN0031187,C-06,79.22
LN0031215,C-07,8649.25
LN0031262,C-05,9.37
