loan_id,product_code,status,control_ids,matching_hypotheses,implied_rate_offset_pct,interest_misstatement_inr,penal_misstatement_inr,closing_balance_diff_inr,exception_periods,first_exception_period,last_exception_period
LN0001009,PL-FIX,Attributed,C-05,C-05 penal charge capitalised,,5.7,0.0,5.7,7,2024-07,2025-01
LN0001025,HL-FLT,Attributed,C-07,C-07 stale pre-change spread,,33829.91,0.0,33829.91,21,2023-10,2025-06
LN0001095,HL-FLT,Attributed,C-05,C-05 penal interest +1.0% on rate | C-05 penal interest +2.0% on rate | C-05 penal interest +3.0% on rate,,0.0,-750.0,-750.0,1,2025-06,2025-06
LN0001109,MSME-FLT,Attributed,C-08,C-08 accrual after closure,,12760.62,0.0,12760.62,1,2025-03,2025-03
LN0001124,PL-FIX,Attributed,C-08,C-08 accrual after closure,,1137.27,0.0,1137.27,1,2021-06,2021-06
LN0001145,HL-MCLR,Attributed,C-06,C-06 daily rounding to 0dp,,28.6,0.0,28.6,48,2021-03,2025-06
LN0001151,PL-FIX,Attributed,C-03,C-03 30E/360 day-count,,16.4,0.0,16.4,54,2021-01,2025-06
LN0001203,PL-FIX,Attributed,C-03,C-03 30E/360 day-count,,390.12,0.0,390.12,25,2021-01,2023-01
LN0001220,HL-FLT,Attributed,C-04,C-04 moratorium interest compounded,,13008.6,0.0,13008.6,52,2021-03,2025-06
LN0001292,HL-FLT,Attributed,C-02,C-02 reset one cycle late,,-18734.73,0.0,-18734.73,35,2022-08,2025-06
LN0001457,HL-FLT,Attributed,C-07,C-07 stale pre-change spread,,39751.6,0.0,39751.6,20,2023-11,2025-06
LN0001470,MSME-FLT,Attributed,C-05,C-05 penal interest +2.0% on rate,,2744.84,-1000.0,1744.84,4,2025-03,2025-06
LN0001531,HL-FLT,Attributed,C-06,C-06 daily rounding to 0dp,,-50.98,0.0,-50.98,47,2021-02,2025-06
LN0001564,HL-FLT,Attributed,C-07,C-07 stale pre-change spread,,19184.18,0.0,19184.18,20,2023-11,2025-06
LN0001653,HL-MCLR,Attributed,C-04,C-04 moratorium interest compounded,,13070.2,0.0,13070.2,52,2021-03,2025-06
LN0001655,MSME-FLT,Attributed,C-09,C-09 365-day basis in leap year,,265.32,0.0,265.32,18,2024-01,2025-06
LN0001660,MSME-FLT,Attributed,C-04+C-09,C-04 moratorium interest compounded + C-09 365-day basis in leap year,,1263.91,0.0,1263.91,52,2021-03,2025-06
LN0001678,HL-FLT,Attributed,C-01,C-01 wrong spread (implied),0.25,44511.29,0.0,44511.29,53,2021-02,2025-06
LN0001729,MSME-FLT,Attributed,C-09,C-09 365-day basis in leap year,,1.81,0.0,1.81,1,2024-01,2024-01
LN0001760,HL-FLT,Attributed,C-07,C-07 stale pre-change spread,,6410.06,0.0,6410.06,20,2023-11,2025-06
LN0001941,MSME-FLT,Attributed,C-09,C-09 365-day basis in leap year,,160.11,0.0,160.11,18,2024-01,2025-06
LN0001948,PL-FIX,Attributed,C-01,C-01 wrong spread (implied),0.1,366.54,0.0,366.54,13,2021-02,2022-02
LN0002009,HL-FLT,Attributed,C-06+C-07,C-06 daily rounding to 0dp + C-07 stale pre-change spread,,17469.47,0.0,17469.47,50,2021-02,2025-06
LN0002021,PL-FIX,Attributed,C-03+C-06,C-03 30E/360 day-count + C-06 daily rounding to 0dp,,1179.39,0.0,1179.39,14,2021-02,2022-03
LN0002024,PL-FIX,Attributed,C-06,C-06 daily rounding to 0dp,,-0.04,0.0,-0.04,10,2021-04,2022-02
LN0002029,GL-FIX,Attributed,C-01,C-01 wrong spread (implied),0.25,239.47,0.0,239.47,10,2021-02,2021-11
LN0002063,PL-FIX,Attributed,C-01,C-01 wrong spread (implied),-0.25,-1175.63,0.0,-1175.63,13,2021-02,2022-02
LN0002122,HL-FLT,Attributed,C-07,C-07 stale pre-change spread,,12349.77,0.0,12349.77,20,2023-11,2025-06
LN0002131,HL-FLT,Attributed,C-06,C-06 daily rounding to 0dp,,36.8,0.0,36.8,24,2021-02,2025-02
LN0002242,HL-FLT,Attributed,C-07,C-07 stale pre-change spread,,20402.57,0.0,20402.57,20,2023-11,2025-06
LN0002245,HL-FLT,Attributed,C-04,C-04 moratorium interest compounded,,76067.97,0.0,76067.97,52,2021-03,2025-06
LN0002452,HL-FLT,Attributed,C-07,C-07 stale pre-change spread,,13538.07,0.0,13538.07,19,2023-12,2025-06
LN0002464,MSME-FLT,Attributed,C-06,C-06 daily rounding to 0dp,,63.22,0.0,63.22,48,2021-03,2025-06
LN0002491,MSME-FLT,Attributed,C-01,C-01 wrong spread (implied),0.25,10009.7,0.0,10009.7,36,2021-03,2024-02
LN0002516,HL-FLT,Attributed,C-07,C-07 stale pre-change spread,,17297.89,0.0,17297.89,19,2023-12,2025-06
LN0002563,MSME-FLT,Attributed,C-02+C-09,C-02 reset one cycle late + C-09 365-day basis in leap year,,-13174.0,0.0,-13174.0,37,2022-06,2025-06
LN0002676,HL-FLT,Attributed,C-07,C-07 stale pre-change spread,,38884.51,0.0,38884.51,19,2023-12,2025-06
LN0002710,HL-FLT,Attributed,C-02,C-02 reset one cycle late,,-15176.89,0.0,-15176.89,37,2022-06,2025-06
LN0002750,MSME-FLT,Attributed,C-06,C-06 daily rounding to 0dp,,171.92,0.0,171.92,39,2021-03,2025-06
LN0002793,MSME-FLT,Attributed,C-04+C-09,C-04 moratorium interest compounded + C-09 365-day basis in leap year,,653.84,0.0,653.84,40,2021-04,2024-07
LN0002802,PL-FIX,Attributed,C-03,C-03 30E/360 day-count,,-168.22,0.0,-168.22,37,2021-03,2024-03
LN0002812,HL-FLT,Attributed,C-06,C-06 daily rounding to 0dp,,-200.81,0.0,-200.81,48,2021-03,2025-06
LN0002843,PL-FIX,Attributed,C-06,C-06 daily rounding to 0dp,,40.11,0.0,40.11,35,2021-03,2024-03
LN0002852,HL-FLT,Attributed,C-04,C-04 moratorium interest compounded,,30611.28,0.0,30611.28,51,2021-04,2025-06
LN0002873,MSME-FLT,Attributed,C-04,C-04 moratorium interest compounded,,2947.63,0.0,2947.63,29,2021-04,2023-08
LN0002897,GL-FIX,Attributed,C-08,C-08 accrual after closure,,462.0,0.0,462.0,1,2021-12,2021-12
LN0002961,HL-FLT,Attributed,C-02,C-02 reset one cycle late,,-14937.71,0.0,-14937.71,10,2022-06,2023-03
LN0002972,MSME-FLT,Attributed,C-05,C-05 penal charge capitalised,,9.83,0.0,9.83,2,2024-08,2024-09
LN0003067,MSME-FLT,Attributed,C-09,C-09 365-day basis in leap year,,20.82,0.0,20.82,3,2024-01,2024-03
LN0003068,MSME-FLT,Attributed,C-06,C-06 daily rounding to 0dp,,-38.61,0.0,-38.61,48,2021-03,2025-06
LN0003072,MSME-FLT,Attributed,C-09,C-09 365-day basis in leap year,,1001.49,0.0,1001.49,18,2024-01,2025-06
LN0003120,PL-FIX,Attributed,C-03,C-03 30E/360 day-count,,-254.95,0.0,-254.95,31,2021-03,2023-09
LN0003208,PL-FIX,Attributed,C-06,C-06 daily rounding to 0dp,,-95.98,0.0,-95.98,37,2021-03,2024-03
LN0003214,HL-FLT,Attributed,C-06,C-06 daily rounding to 0dp,,57.96,0.0,57.96,46,2021-03,2025-06
LN0003275,PL-FIX,Attributed,C-06,C-06 daily rounding to 0dp,,23.87,0.0,23.87,49,2021-03,2025-03
LN0003322,PL-FIX,Attributed,C-06,C-06 daily rounding to 0dp,,113.86,0.0,113.86,52,2021-03,2025-06
LN0003324,PL-FIX,Attributed,C-03,C-03 30E/360 day-count,,-673.19,0.0,-673.19,49,2021-03,2025-03
LN0003360,PL-FIX,Attributed,C-01,C-01 wrong spread (implied),0.1,1300.61,0.0,1300.61,52,2021-03,2025-06
LN0003364,GL-FIX,Attributed,C-06,C-06 daily rounding to 0dp,,-179.96,0.0,-179.96,13,2021-03,2022-03
LN0003365,GL-FIX,Attributed,C-01,C-01 wrong spread (implied),0.25,154.97,0.0,154.97,7,2021-03,2021-09
LN0003380,HL-FLT,Attributed,C-08,C-08 accrual after closure,,17691.24,0.0,17691.24,1,2023-08,2023-08
LN0003413,HL-FLT,Attributed,C-06,C-06 daily rounding to 0dp,,-19.41,0.0,-19.41,45,2021-04,2025-06
LN0003455,MSME-FLT,Attributed,C-01,C-01 wrong spread (implied),0.1,14647.84,0.0,14647.84,52,2021-03,2025-06
LN0003472,GL-FIX,Attributed,C-01,C-01 wrong spread (implied),0.25,426.18,0.0,426.18,13,2021-03,2022-03
LN0003503,PL-FIX,Attributed,C-03,C-03 30E/360 day-count,,-104.34,0.0,-104.34,13,2021-03,2022-03
LN0003526,MSME-FLT,Attributed,C-06,C-06 daily rounding to 0dp,,91.96,0.0,91.96,33,2021-06,2024-04
LN0003531,MSME-FLT,Attributed,C-04,C-04 moratorium interest compounded,,810.45,0.0,810.45,50,2021-05,2025-06
LN0003538,GL-FIX,Attributed,C-08,C-08 accrual after closure,,640.24,0.0,640.24,1,2021-10,2021-10
LN0003564,MSME-FLT,Attributed,C-09,C-09 365-day basis in leap year,,144.36,0.0,144.36,18,2024-01,2025-06
LN0003593,HL-FLT,Attributed,C-01,C-01 wrong spread (implied),0.5,145570.6,0.0,145570.6,51,2021-04,2025-06
LN0003611,MSME-FLT,Attributed,C-01,C-01 wrong spread (implied),0.25,13907.57,0.0,13907.57,51,2021-04,2025-06
LN0003629,GL-FIX,Attributed,C-01,C-01 wrong spread (implied),0.25,73.71,0.0,73.71,7,2021-04,2021-10
LN0003631,HL-FLT,Attributed,C-07,C-07 stale pre-change spread,,18618.86,0.0,18618.86,21,2023-10,2025-06
LN0003706,MSME-FLT,Attributed,C-02,C-02 reset one cycle late,,-6919.7,0.0,-6919.7,36,2022-07,2025-06
LN0003744,HL-FLT,Attributed,C-05,C-05 penal charge capitalised,,5.97,0.0,5.97,2,2025-04,2025-05
LN0003757,MSME-FLT,Attributed,C-05,C-05 penal interest +2.0% on rate,,3752.13,-1000.0,2752.13,9,2024-10,2025-06
LN0003818,HL-MCLR,Attributed,C-02,C-02 reset one cycle late,,-44796.03,0.0,-44796.03,27,2023-04,2025-06
LN0003821,MSME-FLT,Attributed,C-08,C-08 accrual after closure,,1766.31,0.0,1766.31,1,2023-05,2023-05
LN0003917,GL-FIX,Attributed,C-01+C-08,C-01 wrong spread (implied) + C-08 accrual after closure,-0.25,631.92,0.0,631.92,9,2021-04,2021-12
LN0004031,MSME-FLT,Attributed,C-09,C-09 365-day basis in leap year,,395.16,0.0,395.16,18,2024-01,2025-06
LN0004076,MSME-FLT,Attributed,C-01,C-01 wrong spread (implied),0.5,21682.06,0.0,21682.06,51,2021-04,2025-06
LN0004104,HL-FLT,Attributed,C-07,C-07 stale pre-change spread,,12942.03,0.0,12942.03,21,2023-10,2025-06
LN0004106,HL-FLT,Attributed,C-01,C-01 wrong spread (implied),0.1,16923.52,0.0,16923.52,51,2021-04,2025-06
LN0004107,HL-FLT,Attributed,C-02,C-02 reset one cycle late,,-16394.15,0.0,-16394.15,36,2022-07,2025-06
LN0004132,PL-FIX,Attributed,C-03,C-03 30E/360 day-count,,-87.06,0.0,-87.06,8,2021-04,2021-11
LN0004162,MSME-FLT,Attributed,C-04+C-08,C-04 moratorium interest compounded + C-08 accrual after closure,,1467.05,0.0,1467.05,37,2021-05,2024-05
LN0004275,HL-MCLR,Attributed,C-02,C-02 reset one cycle late,,-41037.59,0.0,-41037.59,27,2023-04,2025-06
LN0004339,PL-FIX,Attributed,C-08,C-08 accrual after closure,,785.35,0.0,785.35,1,2022-09,2022-09
LN0004362,HL-FLT,Attributed,C-07,C-07 stale pre-change spread,,15456.64,0.0,15456.64,21,2023-10,2025-06
LN0004410,MSME-FLT,Attributed,C-08,C-08 accrual after closure,,1799.55,0.0,1799.55,1,2022-03,2022-03
LN0004470,HL-FLT,Attributed,C-02,C-02 reset one cycle late,,-26958.19,0.0,-26958.19,36,2022-07,2025-06
LN0004527,PL-FIX,Attributed,C-03,C-03 30E/360 day-count,,-118.12,0.0,-118.12,13,2021-04,2022-04
LN0004586,HL-FLT,Attributed,C-04,C-04 moratorium interest compounded,,8799.29,0.0,8799.29,50,2021-05,2025-06
LN0004595,MSME-FLT,Attributed,C-05,C-05 penal interest +2.0% on rate,,334.16,-1000.0,-665.84,9,2024-10,2025-06
LN0004618,HL-FLT,Attributed,C-08,C-08 accrual after closure,,9072.3,0.0,9072.3,1,2023-11,2023-11
LN0004630,HL-FLT,Attributed,C-01,C-01 wrong spread (implied),0.5,97521.76,0.0,97521.76,51,2021-04,2025-06
LN0004656,PL-FIX,Attributed,C-03,C-03 30E/360 day-count,,-63.37,0.0,-63.37,49,2021-04,2025-04
LN0004659,PL-FIX,Attributed,C-03,C-03 30E/360 day-count,,-225.58,0.0,-225.58,51,2021-04,2025-06
LN0004682,HL-FLT,Attributed,C-07,C-07 stale pre-change spread,,26415.09,0.0,26415.09,21,2023-10,2025-06
LN0004697,PL-FIX,Attributed,C-03,C-03 30E/360 day-count,,-116.06,0.0,-116.06,25,2021-04,2023-04
LN0004747,HL-FLT,Attributed,C-04,C-04 moratorium interest compounded,,3128.0,0.0,3128.0,49,2021-06,2025-06
LN0004769,PL-FIX,Attributed,C-03,C-03 30E/360 day-count,,-185.64,0.0,-185.64,49,2021-05,2025-05
LN0004773,PL-FIX,Attributed,C-03,C-03 30E/360 day-count,,-205.92,0.0,-205.92,19,2021-05,2022-11
LN0004783,HL-FLT,Attributed,C-06,C-06 daily rounding to 0dp,,-129.65,0.0,-129.65,38,2021-08,2025-06
LN0004907,MSME-FLT,Attributed,C-09,C-09 365-day basis in leap year,,262.0,0.0,262.0,18,2024-01,2025-06
LN0004918,PL-FIX,Attributed,C-01,C-01 wrong spread (implied),-0.25,-869.12,0.0,-869.12,13,2021-05,2022-05
LN0004921,PL-FIX,Attributed,C-01,C-01 wrong spread (implied),-0.25,-989.6,0.0,-989.6,13,2021-05,2022-05
LN0004965,HL-FLT,Attributed,C-05,C-05 penal charge capitalised,,22.99,0.0,22.99,5,2025-01,2025-05
LN0005023,PL-FIX,Attributed,C-03,C-03 30E/360 day-count,,-171.33,0.0,-171.33,14,2021-05,2022-06
LN0005036,HL-FLT,Attributed,C-07,C-07 stale pre-change spread,,7675.33,0.0,7675.33,20,2023-11,2025-06
LN0005053,MSME-FLT,Attributed,C-09,C-09 365-day basis in leap year,,947.99,0.0,947.99,18,2024-01,2025-06
LN0005072,HL-FLT,Attributed,C-07,C-07 stale pre-change spread,,5283.14,0.0,5283.14,20,2023-11,2025-06
LN0005079,HL-MCLR,Attributed,C-02,C-02 reset one cycle late,,-39171.51,0.0,-39171.51,26,2023-05,2025-06
LN0005084,MSME-FLT,Attributed,C-09,C-09 365-day basis in leap year,,46.47,0.0,46.47,18,2024-01,2025-06
LN0005111,HL-FLT,Attributed,C-07,C-07 stale pre-change spread,,12725.39,0.0,12725.39,18,2023-11,2025-04
LN0005114,HL-FLT,Attributed,C-02,C-02 reset one cycle late,,-34851.73,0.0,-34851.73,38,2022-05,2025-06
LN0005212,HL-FLT,Attributed,C-05,C-05 penal charge capitalised,,12.06,0.0,12.06,3,2024-09,2024-11
LN0005221,HL-MCLR,Attributed,C-05,C-05 penal interest +2.0% on rate,,6501.98,-750.0,5751.98,7,2024-12,2025-06
LN0005223,MSME-FLT,Attributed,C-09,C-09 365-day basis in leap year,,945.56,0.0,945.56,18,2024-01,2025-06
LN0005311,HL-MCLR,Attributed,C-08,C-08 accrual after closure,,3687.57,0.0,3687.57,1,2023-03,2023-03
LN0005383,HL-FLT,Attributed,C-02,C-02 reset one cycle late,,-24105.55,0.0,-24105.55,38,2022-05,2025-06
LN0005436,PL-FIX,Attributed,C-08,C-08 accrual after closure,,574.93,0.0,574.93,1,2022-08,2022-08
LN0005464,MSME-FLT,Attributed,C-09,C-09 365-day basis in leap year,,8.67,0.0,8.67,5,2024-01,2024-05
LN0005500,HL-FLT,Attributed,C-07,C-07 stale pre-change spread,,5278.36,0.0,5278.36,20,2023-11,2025-06
LN0005512,MSME-FLT,Attributed,C-09,C-09 365-day basis in leap year,,104.44,0.0,104.44,5,2024-01,2024-05
LN0005518,PL-FIX,Attributed,C-06,C-06 daily rounding to 0dp,,11.11,0.0,11.11,49,2021-05,2025-06
LN0005541,HL-FLT,Attributed,C-02,C-02 reset one cycle late,,-32905.97,0.0,-32905.97,38,2022-05,2025-06
LN0005562,MSME-FLT,Attributed,C-01,C-01 wrong spread (implied),0.1,8955.49,0.0,8955.49,50,2021-05,2025-06
LN0005631,HL-MCLR,Attributed,C-02,C-02 reset one cycle late,,-24766.4,0.0,-24766.4,26,2023-05,2025-06
LN0005651,GL-FIX,Attributed,C-08,C-08 accrual after closure,,328.37,0.0,328.37,1,2021-08,2021-08
LN0005655,HL-FLT,Attributed,C-01,C-01 wrong spread (implied),-0.25,-24025.36,0.0,-24025.36,36,2021-05,2024-04
LN0005681,GL-FIX,Attributed,C-06,C-06 daily rounding to 0dp,,24.83,0.0,24.83,9,2021-06,2022-02
LN0005757,PL-FIX,Attributed,C-03,C-03 30E/360 day-count,,-155.71,0.0,-155.71,37,2021-05,2024-05
LN0005777,HL-FLT,Attributed,C-06,C-06 daily rounding to 0dp,,28.47,0.0,28.47,12,2021-06,2022-06
LN0005815,HL-FLT,Attributed,C-02,C-02 reset one cycle late,,-123487.46,0.0,-123487.46,38,2022-05,2025-06
LN0005817,HL-FLT,Attributed,C-07,C-07 stale pre-change spread,,9558.32,0.0,9558.32,20,2023-11,2025-06
LN0005830,MSME-FLT,Attributed,C-02,C-02 reset one cycle late,,-10632.36,0.0,-10632.36,38,2022-05,2025-06
LN0005878,MSME-FLT,Attributed,C-09,C-09 365-day basis in leap year,,2.06,0.0,2.06,1,2024-01,2024-01
LN0005892,PL-FIX,Attributed,C-03,C-03 30E/360 day-count,,-100.7,0.0,-100.7,28,2021-05,2023-08
LN0005910,HL-FLT,Attributed,C-01,C-01 wrong spread (implied),-0.25,-108289.87,0.0,-108289.87,50,2021-05,2025-06
LN0005994,HL-FLT,Attributed,C-05,C-05 penal interest +2.0% on rate,,4640.41,-750.0,3890.41,3,2025-04,2025-06
LN0006021,PL-FIX,Attributed,C-03,C-03 30E/360 day-count,,-125.28,0.0,-125.28,49,2021-06,2025-06
LN0006071,PL-FIX,Attributed,C-03,C-03 30E/360 day-count,,-45.02,0.0,-45.02,13,2021-06,2022-06
LN0006105,PL-FIX,Attributed,C-01,C-01 wrong spread (implied),-0.25,-940.41,0.0,-940.41,25,2021-06,2023-06
LN0006247,MSME-FLT,Attributed,C-01,C-01 wrong spread (implied),-0.25,-12873.85,0.0,-12873.85,37,2021-06,2024-06
LN0006320,HL-FLT,Attributed,C-04,C-04 moratorium interest compounded,,5171.41,0.0,5171.41,48,2021-07,2025-06
LN0006353,HL-FLT,Attributed,C-04,C-04 moratorium interest compounded,,4770.76,0.0,4770.76,48,2021-07,2025-06
LN0006361,HL-FLT,Attributed,C-07,C-07 stale pre-change spread,,11273.35,0.0,11273.35,19,2023-12,2025-06
LN0006370,MSME-FLT,Attributed,C-04+C-06,C-04 moratorium interest compounded + C-06 daily rounding to 0dp,,1083.14,0.0,1083.14,49,2021-06,2025-06
LN0006374,MSME-FLT,Attributed,C-08,C-08 accrual after closure,,6398.2,0.0,6398.2,1,2024-09,2024-09
LN0006404,MSME-FLT,Attributed,C-05,C-05 penal interest +2.0% on rate,,3526.07,-1000.0,2526.07,7,2024-12,2025-06
LN0006428,HL-FLT,Attributed,C-01,C-01 wrong spread (implied),0.1,6739.5,0.0,6739.5,49,2021-06,2025-06
LN0006431,HL-FLT,Attributed,C-06,C-06 daily rounding to 0dp,,210.41,0.0,210.41,32,2021-06,2025-03
LN0006471,HL-MCLR,Attributed,C-02,C-02 reset one cycle late,,-61640.08,0.0,-61640.08,25,2023-06,2025-06
LN0006574,PL-FIX,Attributed,C-03+C-08,C-03 30E/360 day-count + C-08 accrual after closure,,990.08,0.0,990.08,5,2021-06,2021-10
LN0006586,HL-FLT,Attributed,C-07,C-07 stale pre-change spread,,12352.74,0.0,12352.74,19,2023-12,2025-06
LN0006642,HL-FLT,Attributed,C-01,C-01 wrong spread (implied),-0.25,-53675.32,0.0,-53675.32,49,2021-06,2025-06
LN0006729,PL-FIX,Attributed,C-03,C-03 30E/360 day-count,,-134.15,0.0,-134.15,25,2021-06,2023-06
LN0006843,MSME-FLT,Attributed,C-04,C-04 moratorium interest compounded,,515.47,0.0,515.47,48,2021-07,2025-06
LN0006849,PL-FIX,Attributed,C-06,C-06 daily rounding to 0dp,,-36.02,0.0,-36.02,24,2021-06,2023-06
LN0006912,HL-FLT,Attributed,C-01,C-01 wrong spread (implied),-0.25,-21741.97,0.0,-21741.97,49,2021-06,2025-06
LN0006915,HL-FLT,Attributed,C-02,C-02 reset one cycle late,,-15726.32,0.0,-15726.32,37,2022-06,2025-06
LN0006922,HL-MCLR,Attributed,C-06,C-06 daily rounding to 0dp,,44.65,0.0,44.65,40,2021-08,2025-06
LN0006941,PL-FIX,Attributed,C-08,C-08 accrual after closure,,337.72,0.0,337.72,1,2023-04,2023-04
LN0006960,HL-FLT,Attributed,C-02,C-02 reset one cycle late,,-11233.67,0.0,-11233.67,37,2022-06,2025-06
LN0006963,HL-FLT,Attributed,C-04,C-04 moratorium interest compounded,,15959.5,0.0,15959.5,48,2021-07,2025-06
LN0007089,HL-FLT,Attributed,C-07,C-07 stale pre-change spread,,2336.96,0.0,2336.96,5,2023-12,2024-04
LN0007131,HL-FLT,Attributed,C-07,C-07 stale pre-change spread,,30395.01,0.0,30395.01,19,2023-12,2025-06
LN0007192,PL-FIX,Attributed,C-08,C-08 accrual after closure,,683.35,0.0,683.35,1,2022-08,2022-08
LN0007213,HL-FLT,Attributed,C-05,C-05 penal charge capitalised,,6.08,0.0,6.08,2,2024-09,2024-10
LN0007223,MSME-FLT,Attributed,C-09,C-09 365-day basis in leap year,,89.25,0.0,89.25,7,2024-01,2024-07
LN0007240,HL-FLT,Attributed,C-02,C-02 reset one cycle late,,-12185.86,0.0,-12185.86,36,2022-07,2025-06
LN0007272,HL-FLT,Attributed,C-04,C-04 moratorium interest compounded,,12925.26,0.0,12925.26,47,2021-08,2025-06
LN0007295,PL-FIX,Attributed,C-03,C-03 30E/360 day-count,,-302.37,0.0,-302.37,48,2021-07,2025-06
LN0007307,HL-FLT,Attributed,C-07,C-07 stale pre-change spread,,11565.88,0.0,11565.88,21,2023-10,2025-06
LN0007443,MSME-FLT,Attributed,C-09,C-09 365-day basis in leap year,,107.22,0.0,107.22,7,2024-01,2024-07
LN0007454,PL-FIX,Attributed,C-03,C-03 30E/360 day-count,,-182.69,0.0,-182.69,48,2021-07,2025-06
LN0007459,GL-FIX,Attributed,C-01,C-01 wrong spread (implied),0.5,252.34,0.0,252.34,7,2021-07,2022-01
LN0007463,GL-FIX,Attributed,C-01,C-01 wrong spread (implied),-0.25,-82.26,0.0,-82.26,7,2021-07,2022-01
LN0007477,HL-FLT,Attributed,C-04,C-04 moratorium interest compounded,,8167.61,0.0,8167.61,47,2021-08,2025-06
