loan_id,product_code,principal_inr,tenure_months,risk_premium_pct,moratorium_months,disbursal_date,first_due_date,maturity_date,branch_code,region,has_exception,attribution_status,root_cause
LN0000016,HL-FLT,3235000.0,240,0.3,0,2021-01-01,2021-02-28,2041-01-31,BR004,North,False,No exception,
LN0000017,HL-FLT,3540000.0,180,0.4,0,2021-01-01,2021-02-28,2036-01-31,BR035,West,False,No exception,
LN0000018,HL-FLT,4026000.0,180,0.65,3,2021-01-01,2021-05-31,2036-04-30,BR006,East,False,No exception,
LN0000019,HL-MCLR,2242000.0,240,0.15,0,2021-01-01,2021-02-28,2041-01-31,BR017,South,False,No exception,
LN0000020,HL-MCLR,4690000.0,240,0.4,0,2021-01-01,2021-02-28,2041-01-31,BR014,East,False,No exception,
LN0000021,HL-MCLR,2199000.0,180,0.15,0,2021-01-01,2021-02-28,2036-01-31,BR010,East,False,No exception,
LN0000022,HL-MCLR,2842000.0,180,0.4,0,2021-01-01,2021-02-28,2036-01-31,BR005,South,False,No exception,
LN0000023,MSME-FLT,5417000.0,84,0.75,0,2021-01-01,2021-02-28,2028-01-31,BR005,South,False,No exception,
LN0000024,MSME-FLT,3382000.0,84,0.45,0,2021-01-01,2021-02-28,2028-01-31,BR040,North,False,No exception,
LN0000025,MSME-FLT,2353000.0,84,1.35,0,2021-01-01,2021-02-28,2028-01-31,BR033,South,False,No exception,
LN0000026,MSME-FLT,2211000.0,120,1.1,5,2021-01-01,2021-07-31,2031-06-30,BR008,North,False,No exception,
LN0000027,PL-FIX,302000.0,12,3.45,0,2021-01-01,2021-02-28,2022-01-31,BR008,North,False,No exception,
LN0000028,PL-FIX,101000.0,36,2.1,0,2021-01-01,2021-02-28,2024-01-31,BR019,West,False,No exception,
LN0000029,PL-FIX,334000.0,60,1.05,0,2021-01-01,2021-02-28,2026-01-31,BR003,West,False,No exception,
LN0000030,PL-FIX,186000.0,60,2.5,0,2021-01-01,2021-02-28,2026-01-31,BR007,West,False,No exception,
LN0000031,PL-FIX,431000.0,12,2.65,0,2021-01-01,2021-02-28,2022-01-31,BR011,West,False,No exception,
LN0000032,PL-FIX,473000.0,60,1.25,0,2021-01-01,2021-02-28,2026-01-31,BR014,East,False,No exception,
LN0000033,PL-FIX,472000.0,36,0.35,0,2021-01-01,2021-02-28,2024-01-31,BR035,West,False,No exception,
LN0000034,PL-FIX,382000.0,24,0.75,0,2021-01-01,2021-02-28,2023-01-31,BR016,North,False,No exception,
LN0000035,PL-FIX,482000.0,24,4.55,0,2021-01-01,2021-02-28,2023-01-31,BR021,South,False,No exception,
LN0000036,PL-FIX,656000.0,48,4.45,0,2021-01-01,2021-02-28,2025-01-31,BR016,North,False,No exception,
LN0000037,PL-FIX,180000.0,48,1.15,0,2021-01-01,2021-02-28,2025-01-31,BR036,North,False,No exception,
LN0000038,GL-FIX,153000.0,12,1.7,0,2021-01-02,2022-01-31,2022-01-31,BR005,South,False,No exception,
LN0000039,GL-FIX,324000.0,6,1.85,0,2021-01-02,2021-07-31,2021-07-31,BR030,East,False,No exception,
LN0000040,GL-FIX,125000.0,6,0.55,0,2021-01-02,2021-07-31,2021-07-31,BR032,North,False,No exception,
LN0000041,GL-FIX,57000.0,6,0.8,0,2021-01-02,2021-07-31,2021-07-31,BR033,South,False,No exception,
LN0000042,GL-FIX,43000.0,9,0.8,0,2021-01-02,2021-10-31,2021-10-31,BR019,West,False,No exception,
LN0000043,GL-FIX,195000.0,6,2.15,0,2021-01-02,2021-07-31,2021-07-31,BR007,West,False,No exception,
LN0000044,GL-FIX,302000.0,12,2.5,0,2021-01-02,2022-01-31,2022-01-31,BR013,South,False,No exception,
LN0000045,HL-FLT,1591000.0,240,0.1,0,2021-01-02,2021-02-28,2041-01-31,BR023,West,False,No exception,
LN0000046,HL-FLT,2461000.0,180,0.3,0,2021-01-02,2021-02-28,2036-01-31,BR025,South,False,No exception,
LN0000047,HL-FLT,2508000.0,300,0.15,0,2021-01-02,2021-02-28,2046-01-31,BR023,West,False,No exception,
LN0000048,HL-FLT,5470000.0,240,0.7,0,2021-01-02,2021-02-28,2041-01-31,BR032,North,False,No exception,
LN0000049,HL-FLT,4715000.0,300,0.35,0,2021-01-02,2021-02-28,2046-01-31,BR031,West,False,No exception,
LN0000050,HL-FLT,7183000.0,300,0.35,0,2021-01-02,2021-02-28,2046-01-31,BR013,South,False,No exception,
LN0000051,HL-FLT,2332000.0,240,0.0,0,2021-01-02,2021-02-28,2041-01-31,BR013,South,False,No exception,
LN0000052,HL-FLT,1454000.0,180,0.7,0,2021-01-02,2021-02-28,2036-01-31,BR018,East,False,No exception,
LN0000053,HL-FLT,1828000.0,300,0.2,0,2021-01-02,2021-02-28,2046-01-31,BR026,East,False,No exception,
LN0000054,HL-MCLR,2629000.0,240,0.1,0,2021-01-02,2021-02-28,2041-01-31,BR008,North,False,No exception,
LN0000055,HL-MCLR,3927000.0,240,0.4,0,2021-01-02,2021-02-28,2041-01-31,BR017,South,False,No exception,
LN0000056,HL-MCLR,6206000.0,180,0.3,0,2021-01-02,2021-02-28,2036-01-31,BR029,South,False,No exception,
LN0000057,HL-MCLR,4138000.0,240,0.45,0,2021-01-02,2021-02-28,2041-01-31,BR002,East,False,No exception,
LN0000058,HL-MCLR,1338000.0,240,0.25,0,2021-01-02,2021-02-28,2041-01-31,BR020,North,True,Attributed,C-02
LN0000059,HL-MCLR,2182000.0,180,0.2,0,2021-01-02,2021-02-28,2036-01-31,BR018,East,False,No exception,
LN0000060,MSME-FLT,1684000.0,36,0.5,0,2021-01-02,2021-02-28,2024-01-31,BR030,East,False,No exception,
LN0000061,MSME-FLT,1064000.0,84,0.75,0,2021-01-02,2021-02-28,2028-01-31,BR024,North,True,Attributed,C-02
LN0000062,MSME-FLT,1762000.0,60,0.8,0,2021-01-02,2021-02-28,2026-01-31,BR014,East,False,No exception,
LN0000063,MSME-FLT,1708000.0,84,0.4,5,2021-01-02,2021-07-31,2028-06-30,BR007,West,False,No exception,
LN0000064,MSME-FLT,739000.0,120,0.2,0,2021-01-02,2021-02-28,2031-01-31,BR017,South,False,No exception,
LN0000065,MSME-FLT,716000.0,60,1.05,0,2021-01-02,2021-02-28,2026-01-31,BR024,North,False,No exception,
LN0000066,MSME-FLT,2331000.0,120,0.6,0,2021-01-02,2021-02-28,2031-01-31,BR026,East,False,No exception,
LN0000067,MSME-FLT,3662000.0,36,0.65,3,2021-01-02,2021-05-31,2024-04-30,BR007,West,False,No exception,
LN0000068,PL-FIX,328000.0,24,2.45,0,2021-01-02,2021-02-28,2023-01-31,BR013,South,False,No exception,
LN0000069,PL-FIX,334000.0,60,1.9,0,2021-01-02,2021-02-28,2026-01-31,BR004,North,False,No exception,
LN0000070,PL-FIX,198000.0,60,3.35,0,2021-01-02,2021-02-28,2026-01-31,BR022,East,False,No exception,
LN0000071,PL-FIX,114000.0,12,3.9,0,2021-01-02,2021-02-28,2022-01-31,BR004,North,False,No exception,
LN0000072,PL-FIX,85000.0,24,4.0,0,2021-01-02,2021-02-28,2023-01-31,BR020,North,False,No exception,
LN0000073,PL-FIX,263000.0,24,2.2,0,2021-01-02,2021-02-28,2023-01-31,BR039,West,False,No exception,
LN0000074,PL-FIX,153000.0,48,4.2,0,2021-01-02,2021-02-28,2025-01-31,BR034,East,False,No exception,
LN0000075,PL-FIX,389000.0,48,2.9,0,2021-01-02,2021-02-28,2025-01-31,BR024,North,False,No exception,
LN0000076,PL-FIX,755000.0,36,3.45,0,2021-01-02,2021-02-28,2024-01-31,BR013,South,False,No exception,
LN0000077,GL-FIX,88000.0,9,1.7,0,2021-01-03,2021-10-31,2021-10-31,BR036,North,False,No exception,
LN0000078,GL-FIX,234000.0,12,1.75,0,2021-01-03,2022-01-31,2022-01-31,BR004,North,False,No exception,
LN0000079,GL-FIX,276000.0,12,0.85,0,2021-01-03,2022-01-31,2022-01-31,BR031,West,False,No exception,
LN0000080,GL-FIX,23000.0,9,0.0,0,2021-01-03,2021-10-31,2021-10-31,BR033,South,False,No exception,
LN0000081,GL-FIX,384000.0,12,0.35,0,2021-01-03,2022-01-31,2022-01-31,BR030,East,False,No exception,
LN0000082,HL-FLT,5324000.0,180,0.3,0,2021-01-03,2021-02-28,2036-01-31,BR020,North,False,No exception,
LN0000083,HL-FLT,5761000.0,300,0.2,0,2021-01-03,2021-02-28,2046-01-31,BR036,North,False,No exception,
LN0000084,HL-FLT,3091000.0,180,0.6,0,2021-01-03,2021-02-28,2036-01-31,BR011,West,False,No exception,
LN0000085,HL-FLT,3561000.0,180,0.5,0,2021-01-03,2021-02-28,2036-01-31,BR007,West,False,No exception,
LN0000086,HL-FLT,6854000.0,180,0.6,0,2021-01-03,2021-02-28,2036-01-31,BR036,North,False,No exception,
LN0000087,HL-FLT,4810000.0,300,0.4,0,2021-01-03,2021-02-28,2046-01-31,BR019,West,False,No exception,
LN0000088,HL-FLT,7905000.0,240,0.3,0,2021-01-03,2021-02-28,2041-01-31,BR015,West,False,No exception,
LN0000089,HL-FLT,4894000.0,240,0.6,0,2021-01-03,2021-02-28,2041-01-31,BR034,East,False,No exception,
LN0000090,HL-FLT,2863000.0,300,0.75,0,2021-01-03,2021-02-28,2046-01-31,BR032,North,False,No exception,
LN0000091,HL-FLT,1009000.0,180,0.05,0,2021-01-03,2021-02-28,2036-01-31,BR012,North,True,Attributed,C-02
LN0000092,HL-MCLR,2852000.0,180,0.0,0,2021-01-03,2021-02-28,2036-01-31,BR039,West,False,No exception,
LN0000093,HL-MCLR,3884000.0,180,0.15,0,2021-01-03,2021-02-28,2036-01-31,BR021,South,False,No exception,
LN0000094,HL-MCLR,4017000.0,180,0.35,0,2021-01-03,2021-02-28,2036-01-31,BR012,North,False,No exception,
LN0000095,HL-MCLR,5092000.0,180,0.25,0,2021-01-03,2021-02-28,2036-01-31,BR005,South,False,No exception,
LN0000096,HL-MCLR,3445000.0,240,0.05,0,2021-01-03,2021-02-28,2041-01-31,BR024,North,False,No exception,
LN0000097,HL-MCLR,4536000.0,240,0.5,0,2021-01-03,2021-02-28,2041-01-31,BR028,North,False,No exception,
LN0000098,MSME-FLT,9970000.0,60,0.05,0,2021-01-03,2021-02-28,2026-01-31,BR034,East,False,No exception,
LN0000099,MSME-FLT,4490000.0,120,1.05,0,2021-01-03,2021-02-28,2031-01-31,BR040,North,False,No exception,
LN0000100,MSME-FLT,6298000.0,120,1.25,0,2021-01-03,2021-02-28,2031-01-31,BR035,West,False,No exception,
LN0000101,MSME-FLT,967000.0,120,1.4,0,2021-01-03,2021-02-28,2031-01-31,BR005,South,False,No exception,
LN0000102,MSME-FLT,4715000.0,120,0.25,0,2021-01-03,2021-02-28,2031-01-31,BR017,South,False,No exception,
LN0000103,MSME-FLT,1013000.0,120,0.15,0,2021-01-03,2021-02-28,2031-01-31,BR017,South,False,No exception,
LN0000104,MSME-FLT,3117000.0,84,0.35,0,2021-01-03,2021-02-28,2028-01-31,BR014,East,False,No exception,
LN0000105,PL-FIX,298000.0,24,4.35,0,2021-01-03,2021-02-28,2023-01-31,BR024,North,False,No exception,
LN0000106,PL-FIX,210000.0,36,0.3,0,2021-01-03,2021-02-28,2024-01-31,BR039,West,False,No exception,
LN0000107,PL-FIX,1359000.0,60,0.65,0,2021-01-03,2021-02-28,2026-01-31,BR003,West,False,No exception,
LN0000108,PL-FIX,333000.0,36,0.05,0,2021-01-03,2021-02-28,2024-01-31,BR016,North,False,No exception,
LN0000109,GL-FIX,277000.0,9,2.4,0,2021-01-04,2021-10-31,2021-10-31,BR026,East,False,No exception,
LN0000110,GL-FIX,152000.0,12,2.2,0,2021-01-04,2022-01-31,2022-01-31,BR001,South,False,No exception,
LN0000111,GL-FIX,201000.0,9,1.5,0,2021-01-04,2021-10-31,2021-10-31,BR016,North,False,No exception,
LN0000112,GL-FIX,46000.0,6,1.7,0,2021-01-04,2021-07-31,2021-07-31,BR026,East,False,No exception,
LN0000113,GL-FIX,178000.0,9,0.75,0,2021-01-04,2021-10-31,2021-10-31,BR034,East,False,No exception,
LN0000114,GL-FIX,619000.0,6,1.05,0,2021-01-04,2021-07-31,2021-07-31,BR021,South,False,No exception,
LN0000115,GL-FIX,358000.0,9,2.15,0,2021-01-04,2021-10-31,2021-10-31,BR024,North,False,No exception,
LN0000116,GL-FIX,546000.0,6,2.25,0,2021-01-04,2021-07-31,2021-07-31,BR038,East,False,No exception,
LN0000117,GL-FIX,104000.0,12,1.35,0,2021-01-04,2022-01-31,2022-01-31,BR013,South,False,No exception,
LN0000118,HL-FLT,2206000.0,180,0.6,0,2021-01-04,2021-02-28,2036-01-31,BR040,North,False,No exception,
LN0000119,HL-FLT,2482000.0,300,0.0,0,2021-01-04,2021-02-28,2046-01-31,BR006,East,False,No exception,
LN0000120,HL-FLT,7406000.0,300,0.6,0,2021-01-04,2021-02-28,2046-01-31,BR025,South,False,No exception,
LN0000121,HL-FLT,3502000.0,180,0.6,6,2021-01-04,2021-08-31,2036-07-31,BR014,East,True,Attributed,C-04
LN0000122,HL-FLT,4746000.0,300,0.45,0,2021-01-04,2021-02-28,2046-01-31,BR026,East,True,Attributed,C-06
LN0000123,HL-FLT,1870000.0,240,0.1,0,2021-01-04,2021-02-28,2041-01-31,BR003,West,False,No exception,
LN0000124,HL-FLT,3392000.0,300,0.5,0,2021-01-04,2021-02-28,2046-01-31,BR018,East,False,No exception,
LN0000125,HL-FLT,1837000.0,180,0.45,0,2021-01-04,2021-02-28,2036-01-31,BR009,South,False,No exception,
LN0000126,HL-FLT,2489000.0,180,0.7,0,2021-01-04,2021-02-28,2036-01-31,BR019,West,False,No exception,
LN0000127,HL-FLT,3084000.0,240,0.6,0,2021-01-04,2021-02-28,2041-01-31,BR019,West,False,No exception,
LN0000128,HL-FLT,5484000.0,300,0.3,0,2021-01-04,2021-02-28,2046-01-31,BR038,East,False,No exception,
LN0000129,HL-FLT,5987000.0,180,0.7,0,2021-01-04,2021-02-28,2036-01-31,BR039,West,False,No exception,
LN0000130,HL-MCLR,2500000.0,180,0.35,0,2021-01-04,2021-02-28,2036-01-31,BR020,North,False,No exception,
LN0000131,HL-MCLR,1933000.0,180,0.4,0,2021-01-04,2021-02-28,2036-01-31,BR018,East,False,No exception,
LN0000132,HL-MCLR,3053000.0,180,0.1,0,2021-01-04,2021-02-28,2036-01-31,BR032,North,False,No exception,
LN0000133,HL-MCLR,6990000.0,180,0.3,0,2021-01-04,2021-02-28,2036-01-31,BR029,South,False,No exception,
LN0000134,MSME-FLT,3116000.0,120,0.9,0,2021-01-04,2021-02-28,2031-01-31,BR031,West,False,No exception,
LN0000135,MSME-FLT,8751000.0,36,0.1,0,2021-01-04,2021-02-28,2024-01-31,BR038,East,False,No exception,
LN0000136,MSME-FLT,4010000.0,84,1.2,0,2021-01-04,2021-02-28,2028-01-31,BR038,East,True,Attributed,C-09
LN0000137,MSME-FLT,1370000.0,120,1.1,0,2021-01-04,2021-02-28,2031-01-31,BR024,North,False,No exception,
LN0000138,MSME-FLT,907000.0,36,0.15,0,2021-01-04,2021-02-28,2024-01-31,BR033,South,False,No exception,
LN0000139,MSME-FLT,990000.0,84,1.45,0,2021-01-04,2021-02-28,2028-01-31,BR021,South,False,No exception,
LN0000140,MSME-FLT,3430000.0,84,0.75,0,2021-01-04,2021-02-28,2028-01-31,BR016,North,False,No exception,
LN0000141,PL-FIX,354000.0,24,0.2,0,2021-01-04,2021-02-28,2023-01-31,BR031,West,False,No exception,
LN0000142,PL-FIX,172000.0,36,2.85,0,2021-01-04,2021-02-28,2024-01-31,BR016,North,False,No exception,
LN0000143,PL-FIX,1300000.0,12,2.15,0,2021-01-04,2021-02-28,2022-01-31,BR026,East,False,No exception,
LN0000144,PL-FIX,452000.0,24,3.55,0,2021-01-04,2021-02-28,2023-01-31,BR029,South,False,No exception,
LN0000145,PL-FIX,215000.0,24,4.9,0,2021-01-04,2021-02-28,2023-01-31,BR001,South,False,No exception,
LN0000146,PL-FIX,291000.0,24,1.45,0,2021-01-04,2021-02-28,2023-01-31,BR023,West,False,No exception,
LN0000147,PL-FIX,432000.0,36,3.5,0,2021-01-04,2021-02-28,2024-01-31,BR037,South,False,No exception,
LN0000148,PL-FIX,484000.0,24,2.8,0,2021-01-04,2021-02-28,2023-01-31,BR002,East,False,No exception,
LN0000149,PL-FIX,308000.0,12,2.8,0,2021-01-04,2021-02-28,2022-01-31,BR016,North,False,No exception,
LN0000150,GL-FIX,145000.0,6,0.1,0,2021-01-05,2021-07-31,2021-07-31,BR024,North,False,No exception,
LN0000151,GL-FIX,82000.0,6,1.05,0,2021-01-05,2021-07-31,2021-07-31,BR004,North,False,No exception,
LN0000152,GL-FIX,248000.0,12,1.1,0,2021-01-05,2022-01-31,2022-01-31,BR028,North,False,No exception,
LN0000153,GL-FIX,169000.0,9,1.9,0,2021-01-05,2021-10-31,2021-10-31,BR002,East,False,No exception,
LN0000154,GL-FIX,60000.0,12,2.45,0,2021-01-05,2022-01-31,2022-01-31,BR040,North,False,No exception,
LN0000155,GL-FIX,75000.0,6,2.25,0,2021-01-05,2021-07-31,2021-07-31,BR036,North,False,No exception,
LN0000156,GL-FIX,191000.0,12,0.55,0,2021-01-05,2022-01-31,2022-01-31,BR023,West,False,No exception,
LN0000157,HL-FLT,5599000.0,240,0.15,0,2021-01-05,2021-02-28,2041-01-31,BR001,South,False,No exception,
LN0000158,HL-FLT,3818000.0,180,0.05,0,2021-01-05,2021-02-28,2036-01-31,BR003,West,False,No exception,
LN0000159,HL-FLT,4127000.0,180,0.25,0,2021-01-05,2021-02-28,2036-01-31,BR014,East,False,No exception,
LN0000160,HL-FLT,2115000.0,300,0.5,0,2021-01-05,2021-02-28,2046-01-31,BR014,East,False,No exception,
LN0000161,HL-FLT,3815000.0,300,0.05,3,2021-01-05,2021-05-31,2046-04-30,BR006,East,False,No exception,
LN0000162,HL-FLT,2094000.0,240,0.15,0,2021-01-05,2021-02-28,2041-01-31,BR019,West,False,No exception,
LN0000163,HL-FLT,2992000.0,180,0.05,0,2021-01-05,2021-02-28,2036-01-31,BR011,West,False,No exception,
LN0000164,HL-FLT,4639000.0,300,0.5,0,2021-01-05,2021-02-28,2046-01-31,BR035,West,False,No exception,
LN0000165,HL-FLT,2905000.0,180,0.6,0,2021-01-05,2021-02-28,2036-01-31,BR024,North,False,No exception,
LN0000166,HL-FLT,3635000.0,300,0.05,0,2021-01-05,2021-02-28,2046-01-31,BR035,West,False,No exception,
LN0000167,HL-FLT,9889000.0,300,0.15,5,2021-01-05,2021-07-31,2046-06-30,BR034,East,False,No exception,
LN0000168,HL-FLT,2809000.0,180,0.2,0,2021-01-05,2021-02-28,2036-01-31,BR013,South,False,No exception,
LN0000169,HL-FLT,1964000.0,180,0.7,0,2021-01-05,2021-02-28,2036-01-31,BR040,North,False,No exception,
LN0000170,HL-FLT,806000.0,300,0.2,0,2021-01-05,2021-02-28,2046-01-31,BR029,South,False,No exception,
LN0000171,HL-FLT,6857000.0,240,0.15,0,2021-01-05,2021-02-28,2041-01-31,BR039,West,False,No exception,
LN0000172,HL-FLT,2200000.0,240,0.55,0,2021-01-05,2021-02-28,2041-01-31,BR009,South,False,No exception,
LN0000173,HL-FLT,2925000.0,240,0.25,0,2021-01-05,2021-02-28,2041-01-31,BR022,East,False,No exception,
LN0000174,HL-MCLR,800000.0,240,0.05,0,2021-01-05,2021-02-28,2041-01-31,BR008,North,False,No exception,
LN0000175,HL-MCLR,1173000.0,240,0.4,0,2021-01-05,2021-02-28,2041-01-31,BR013,South,True,Attributed,C-02
LN0000176,HL-MCLR,2893000.0,180,0.1,0,2021-01-05,2021-02-28,2036-01-31,BR022,East,False,No exception,
LN0000177,HL-MCLR,7788000.0,240,0.1,0,2021-01-05,2021-02-28,2041-01-31,BR007,West,False,No exception,
LN0000178,HL-MCLR,1527000.0,240,0.05,0,2021-01-05,2021-02-28,2041-01-31,BR019,West,False,No exception,
LN0000179,HL-MCLR,3464000.0,240,0.25,0,2021-01-05,2021-02-28,2041-01-31,BR012,North,True,Attributed,C-01
LN0000180,HL-MCLR,1153000.0,240,0.0,0,2021-01-05,2021-02-28,2041-01-31,BR029,South,False,No exception,
LN0000181,HL-MCLR,5038000.0,240,0.0,0,2021-01-05,2021-02-28,2041-01-31,BR033,South,False,No exception,
LN0000182,MSME-FLT,649000.0,36,1.25,0,2021-01-05,2021-02-28,2024-01-31,BR003,West,False,No exception,
LN0000183,MSME-FLT,7548000.0,84,1.15,0,2021-01-05,2021-02-28,2028-01-31,BR032,North,False,No exception,
LN0000184,MSME-FLT,588000.0,36,0.45,0,2021-01-05,2021-02-28,2024-01-31,BR003,West,False,No exception,
LN0000185,MSME-FLT,1195000.0,84,0.1,0,2021-01-05,2021-02-28,2028-01-31,BR016,North,False,No exception,
LN0000186,PL-FIX,877000.0,36,0.15,0,2021-01-05,2021-02-28,2024-01-31,BR012,North,False,No exception,
LN0000187,PL-FIX,143000.0,60,3.25,0,2021-01-05,2021-02-28,2026-01-31,BR020,North,False,No exception,
LN0000188,PL-FIX,497000.0,24,0.7,0,2021-01-05,2021-02-28,2023-01-31,BR031,West,False,No exception,
LN0000189,PL-FIX,214000.0,36,3.0,0,2021-01-05,2021-02-28,2024-01-31,BR024,North,False,No exception,
LN0000190,PL-FIX,446000.0,60,3.1,0,2021-01-05,2021-02-28,2026-01-31,BR027,West,False,No exception,
LN0000191,PL-FIX,268000.0,36,4.05,0,2021-01-05,2021-02-28,2024-01-31,BR007,West,False,No exception,
LN0000192,PL-FIX,949000.0,48,3.95,0,2021-01-05,2021-02-28,2025-01-31,BR039,West,False,No exception,
LN0000193,PL-FIX,632000.0,48,1.3,0,2021-01-05,2021-02-28,2025-01-31,BR038,East,False,No exception,
LN0000194,PL-FIX,494000.0,36,2.5,0,2021-01-05,2021-02-28,2024-01-31,BR014,East,False,No exception,
LN0000195,PL-FIX,311000.0,24,1.15,0,2021-01-05,2021-02-28,2023-01-31,BR008,North,False,No exception,
LN0000196,PL-FIX,532000.0,48,3.7,0,2021-01-05,2021-02-28,2025-01-31,BR017,South,False,No exception,
LN0000197,PL-FIX,406000.0,36,3.25,0,2021-01-05,2021-02-28,2024-01-31,BR024,North,False,No exception,
LN0000198,PL-FIX,122000.0,60,2.95,0,2021-01-05,2021-02-28,2026-01-31,BR001,South,False,No exception,
LN0000199,PL-FIX,439000.0,12,1.6,0,2021-01-05,2021-02-28,2022-01-31,BR019,West,False,No exception,
LN0000200,PL-FIX,217000.0,60,0.35,0,2021-01-05,2021-02-28,2026-01-31,BR006,East,False,No exception,
LN0000201,GL-FIX,199000.0,12,1.4,0,2021-01-06,2022-01-31,2022-01-31,BR007,West,False,No exception,
LN0000202,GL-FIX,62000.0,12,1.2,0,2021-01-06,2022-01-31,2022-01-31,BR009,South,False,No exception,
LN0000203,GL-FIX,124000.0,12,1.1,0,2021-01-06,2022-01-31,2022-01-31,BR040,North,False,No exception,
LN0000204,GL-FIX,128000.0,12,0.6,0,2021-01-06,2022-01-31,2022-01-31,BR004,North,False,No exception,
LN0000205,GL-FIX,219000.0,6,1.6,0,2021-01-06,2021-07-31,2021-07-31,BR022,East,False,No exception,
LN0000206,GL-FIX,69000.0,9,1.3,0,2021-01-06,2021-10-31,2021-10-31,BR016,North,False,No exception,
LN0000207,GL-FIX,224000.0,9,2.4,0,2021-01-06,2021-10-31,2021-10-31,BR017,South,False,No exception,
LN0000208,GL-FIX,215000.0,9,0.25,0,2021-01-06,2021-10-31,2021-10-31,BR015,West,False,No exception,
LN0000209,GL-FIX,366000.0,6,0.75,0,2021-01-06,2021-07-31,2021-07-31,BR004,North,False,No exception,
LN0000210,GL-FIX,263000.0,6,2.15,0,2021-01-06,2021-07-31,2021-07-31,BR014,East,False,No exception,
LN0000211,HL-FLT,7836000.0,300,0.2,0,2021-01-06,2021-02-28,2046-01-31,BR034,East,False,No exception,
LN0000212,HL-FLT,5681000.0,300,0.55,0,2021-01-06,2021-02-28,2046-01-31,BR002,East,False,No exception,
LN0000213,HL-FLT,5864000.0,240,0.55,0,2021-01-06,2021-02-28,2041-01-31,BR003,West,False,No exception,
LN0000214,HL-FLT,2956000.0,240,0.35,0,2021-01-06,2021-02-28,2041-01-31,BR024,North,False,No exception,
LN0000215,HL-FLT,11492000.0,240,0.65,0,2021-01-06,2021-02-28,2041-01-31,BR007,West,False,No exception,
LN0000216,HL-FLT,2485000.0,300,0.35,0,2021-01-06,2021-02-28,2046-01-31,BR011,West,False,No exception,
LN0000217,HL-MCLR,4862000.0,240,0.1,0,2021-01-06,2021-02-28,2041-01-31,BR024,North,False,No exception,
LN0000218,HL-MCLR,2512000.0,180,0.1,0,2021-01-06,2021-02-28,2036-01-31,BR022,East,False,No exception,
LN0000219,HL-MCLR,3776000.0,180,0.1,0,2021-01-06,2021-02-28,2036-01-31,BR012,North,False,No exception,
LN0000220,HL-MCLR,4362000.0,240,0.1,0,2021-01-06,2021-02-28,2041-01-31,BR016,North,False,No exception,
LN0000221,HL-MCLR,948000.0,240,0.45,0,2021-01-06,2021-02-28,2041-01-31,BR006,East,False,No exception,
LN0000222,HL-MCLR,4615000.0,240,0.45,0,2021-01-06,2021-02-28,2041-01-31,BR034,East,False,No exception,
LN0000223,MSME-FLT,375000.0,120,0.35,0,2021-01-06,2021-02-28,2031-01-31,BR011,West,False,No exception,
LN0000224,MSME-FLT,488000.0,120,1.35,0,2021-01-06,2021-02-28,2031-01-31,BR039,West,False,No exception,
LN0000225,MSME-FLT,1680000.0,120,0.75,0,2021-01-06,2021-02-28,2031-01-31,BR035,West,False,No exception,
LN0000226,PL-FIX,287000.0,48,4.95,0,2021-01-06,2021-02-28,2025-01-31,BR026,East,False,No exception,
